No.,Object designation,Diameter,Impact date/time in UTC,IP,Close years
564,2020PJ6,27,2074-05-09 15:09,0.318630817710357,2074
566,2017AY20,220,2027-11-04 19:02,0.00526178324697318,2027
568,2012CL17,26,2108-02-07 05:27,0.00750497699114282,2098
570,2009HC,40,2113-04-11 09:42,0.0181883093362308,2095
571,2022OB5,6,2109-01-10 21:37,0.0000526011256640892,2087
572,2008EM68,11,2025-03-11 06:06,0.0000859722481722292,2025
575,2004FY3,30,2122-03-20 00:13,0.0101243987260191,2122
576,2017DG16,5,2084-02-25 01:22,0.0000506021657726951,2079
577,2004BN41,25,2098-02-05 06:33,0.790314525730146,2098
578,2008LD,6,2113-05-31 00:31,0.000043800096360212,2054
581,2007VH189,80,2037-10-31 04:37,0.000189206995062368,2037
583,2014MB6,20,2075-07-08 21:19,0.158039828518978,2052
584,2019UL,6,2112-10-09 13:39,0.0000383009690145161,2062
588,2008OO1,40,2107-07-23 14:00,0.000051763238731939,2107
589,2017QT1,15,2050-01-30 17:06,0.0113319661410093,2050
590,2022AU,5,2096-01-04 09:46,0.0000384009830651665,2089
595,2015FA345,50,2046-03-16 23:25,0.000759924728654473,2024
596,2012EP10,5,2096-02-21 13:07,0.0000469021152853994,2072
603,2022OZ5,40,2110-04-13 12:22,0.000694967244413335,2098
604,1997TC25,40,2096-09-28 05:05,0.000321825033053899,2067
607,2022JK,16,2093-10-29 21:54,0.107594974407535,2093
610,2021ST,22,2097-10-11 13:59,0.666342223816512,2068
612,2022YL8,21,2083-12-19 06:09,0.00881990515709027,2083
616,2019CZ1,50,2112-01-30 17:09,0.0313395721868954,2112
619,2023CA3,14,2053-02-19 02:17,0.352142328513451,2053
621,2011CW46,40,2055-08-15 14:06,0.00932733812114397,2032
622,2019XV,5,2100-10-30 13:32,0.0000437005637372722,2062
623,2019YM,22,2117-12-21 04:58,0.037301249618461,2117
624,2019CZ2,40,2044-01-29 21:19,0.0389242389317142,2044
625,1993UA,29,2111-10-21 04:53,0.0165962075885945,2111
630,2019YV1,30,2119-06-20 08:19,0.0266252357343358,2101
631,2022QN6,18,2066-08-25 12:11,0.887971382186192,2066
632,2015FF36,18,2073-05-21 09:27,0.704960540439676,2049
633,2018QS,20,2084-08-13 11:01,0.352142328513451,2084
642,2020RJ2,5,2087-10-18 12:16,0.0000334001336005344,2087
643,2016LG10,28,2108-06-06 00:52,0.015625,2108
645,2020HF,30,2110-04-16 20:36,0.00288751837364092,2089
647,2021RP2,3,2065-09-08 21:19,0.0000637023824691043,2050
648,2008BC15,17,2094-07-22 19:35,0.0444779036424534,2072
650,2012CU,22,2100-02-01 19:22,0.0618895399014256,2067
651,2014HJ198,18,2034-04-21 14:35,0.0742034306258863,2034
653,2017KQ27,24,2117-06-06 13:38,0.0574175614422397,2117
656,2004XB45,20,2035-12-18 01:53,0.813091511343353,2035
657,2020HW7,13,2044-12-06 16:24,0.288781475708009,2044
662,2017WE28,16,2057-11-23 09:20,0.13864723036424,2039
663,2020XV6,100,2099-12-11 19:06,0.000436871800102788,2099
665,2020PU1,18,2070-12-08 16:51,0.303278075786418,2066
666,2021CC7,4,2100-02-11 13:46,0.0000554016620498615,2100
674,2021RM10,30,2088-09-21 08:43,0.000120427291082171,2058
675,2006DN,50,2056-04-22 00:59,0.0858977106838146,2056
677,2014JV79,30,2023-11-14 15:21,0.0640098926366042,2023
678,2006QK33,70,2116-08-20 10:57,0.0000715752210954574,2116
682,2007EN88,18,2104-03-13 12:34,0.303278075786418,2084
684,2021GT,20,2072-04-09 02:27,0.00578799279966179,2072
686,2014WC201,21,2119-12-05 09:30,0.13864723036424,2098
690,2012BK14,11,2027-01-15 09:15,0.00381308839273278,2023
691,2007SN6,40,2059-09-18 15:11,0.0183732986967789,2022
693,2017HZ4,24,2106-05-30 23:38,0.0810846174955253,2091
695,2004FM4,40,2119-03-23 07:51,0.481658410890803,2119
697,2014HE199,30,2039-04-13 21:44,0.00006103515625,2030
698,2021EF3,5,2109-03-01 11:10,0.0000351000351000351,2109
699,2021XZ2,21,2113-12-14 07:49,0.00276014839478233,2113
700,2023DX,23,2102-07-15 08:26,0.0039047816640837,2100
704,2013RR43,30,2050-09-08 18:02,0.0145493091444458,2050
705,2013UR1,10,2050-10-21 19:10,0.0513968983865085,2043
714,2020GZ1,14,2099-04-03 00:20,0.0241502891384003,2039
715,2008HC38,21,2029-04-23 02:39,0.00084075826090919,2029
717,2015HR182,200,2073-10-17 14:39,0.0516258003701346,2053
718,2022WQ6,19,2074-12-08 20:24,0.00536552959047379,2070
720,2005UA1,19,2036-10-19 18:37,0.759917813202063,2036
726,2016NP56,20,2058-01-14 00:24,0.00770734662925894,2024
728,2021LC4,18,2122-06-13 00:15,0.0991050971316995,2112
729,2019CJ4,29,2116-08-19 17:11,0.000572826566258212,2075
